"HolderAddress","Quantity","PendingBalanceUpdate"
"0x18324624cbc9eb3837a7f0fe914478772d055db1","2","No"
"0x19218883634aa94a6828618a956228498acad0e2","2","No"
"0x19f2a34746fee360903efe154b3a1c577f1e945e","2","No"
"0x1a30649204583f5c156a0258433e8656094020ac","2","No"
"0x1b8ebb87116c9bb3c01ecad7b078be4f3a981328","2","No"
"0x1d73f8b1f1d64dd6f4a6bc319474337bf7166584","2","No"
"0x1da6c69c3180a576c0cff5d1234b8dc43fe0091c","2","No"
"0x1e5423f6f3ed7391fa37a121f9a1d33ce2df249e","2","No"
"0x207614734fe5f36d782fe0b0a72ca9862e9006e5","2","No"
"0x23ddada74ef9b28116e8f36a1fcfc0a09af59c2b","2","No"
"0x240e75a28257a48917af43e0a01630a025cd20f6","2","No"
"0x2972f24c52422d581a9ab9276409e2de0dcf32fe","2","No"
"0x2af45364c81dd6b5db8a98dc2f0f91274e51bf79","2","No"
"0x2bc5a4ea33b278567aaea215fffc804d6fd79af6","2","No"
"0x2deb054b590b50b5f588c577081156c5bef86031","2","No"
"0x2e256c1afc19d0b3f9c12a95d283b4a2e053c32e","2","No"
"0x31a4c574b05d7a75e56b34ca14e3da3ba191a03f","2","No"
"0x31eb3d99be2c5d3a86219923438c08a9b14a516b","2","No"
"0x327ddd700b8a74d3b6881f3e52b91eed8c5cfb8d","2","No"
"0x34b32895395544b8222d7edbd29e00b591baddde","2","No"
"0x34cf0fec3c5fd086c91fc1aa9cc8c472d85c92b1","2","No"
"0x360c1012b802f3b2b215b9accc9d21a62dcacf30","2","No"
"0x36bd061de34d98e2fdfc471ce4a5091f09ef0f9a","2","No"
"0x37ae65418ca1bdcca5fcd1176f0ddc2258664bb0","2","No"
"0x3b0baad73631c1319e202fe15784f61861f266cd","2","No"
"0x3c6d73bb84a85d306bf7db9a8861c980df5ea1f4","2","No"
"0x3de8b2a9ef819b080bcb2f54a2a058698b967578","2","No"
"0x3e2bc3150f49c9d54388da8c6a3b851728991799","2","No"
"0x3edf1252a48cbb2029ffc25fff9871b5ecf8222e","2","No"
"0x3f32fd0be06d407cb3c2d4b0d4449c59fd3edf3a","2","No"
"0x439a889d18b7f035e070e4b3653c4b24641635ef","2","No"
"0x445f4af979408aa21bbb68b5726d141c376a176c","2","No"
"0x458cb63906bc3b26b058cf9daa9dfe61dec54562","2","No"
"0x47cd8347529a10811bdc16b97e573fa0446e5164","2","No"
"0x4801ed689de9f832a8fa5c9aeb670e85ba632af9","2","No"
"0x48ebf4683eb2cb6884cee4db253c3c302f43c5aa","2","No"
"0x493461fe31b97a4aba0627727eb6fd2336faeec6","2","No"
"0x4a0bf8be15e7a4a2c87de11c2bc0ce074193bda5","2","No"
"0x4b34a02e6e66899e38ea94da62c9335df78d3c31","2","No"
"0x4cad8263ce164e0c62e1b43b4f3a551f259b06b6","2","No"
"0x4d117388baba55e3c0d0cb7372f65c2243d8540f","2","No"
"0x4dcda6b27f773744963c544a23fa040a0084cf04","2","No"
"0x50a7a213e34cc9590abe9640a37f3b832c80da66","2","No"
"0x517ba656698b1d7561feebbcf638426e63aec563","2","No"
"0x519967aadd27fdf4f85e77fa0a5cd43c66660dcc","2","No"
"0x5234bffad8f9eddcb6f33c233e8e7727b51ff8b4","2","No"
"0x524d79fdd77cbfdef16017cca78cea97307ce14a","2","No"
"0x525179cc79e20aeb2c44fca1ef1efc35d3b8d5ff","2","No"
"0x52d63ea17d7127f77dfdf40fb78d46cd60551e03","2","No"
"0x53498d81af61667c3ecd0074ae964137807348aa","2","No"
"0x544c43fd1baf69a65a13370df87e498b49a00140","2","No"
"0x547e56474acc9e37aa7494bb2132713cd6d1840a","2","No"
"0x58221e0ce807e22ca7ba54a322c751de07d5fab4","2","No"
"0x5839e4e1fe2c41b3978b9699f28f330ce7d023da","2","No"
"0x597951d15a678cf0044f86cb05984f9e5cd67165","2","No"
"0x5985a13199b59e53c5bc3e0ab4ee0bd3782cc64e","2","No"
"0x5a7eb14ef3a8660fcd3ae50480a684a652e77f19","2","No"
"0x5bd65d7e1d4b06239216aed1fe01ae6326ab8c84","2","No"
"0x5fcaa41b13bd010b2ca5967d4b8feffce94e5ad1","2","No"
"0x6091029d0405651bf3f9fe4cabbd9e501661b4d1","2","No"
"0x638d60746d93d4d23c3c56081fba5c605178ab71","2","No"
"0x6537e24dd72a807e1bb0bf492deaeaac99847e4a","2","No"
"0x66316acf02012768e6dc0269e7104ff0be605a7d","2","No"
"0x66537bdcb2e647e1ffb54a851bb3d9c188ab8525","2","No"
"0x68271f4ef8ae863679fe15344a981ad9db90a13d","2","No"
"0x6d922db3826ce03fa7e8fb48db8db6ad22c2351d","2","No"
"0x6dec4a17475e5ad006afffad28ff2532abee2cfe","2","No"
"0x6e80355be0def27b03aa54a86435090cc9a4f575","2","No"
"0x712658d45f832461199ed54f6896fdf573babd9b","2","No"
"0x730e67d025646d860f0ef24f92b9d2aedeb7d1c7","2","No"
"0x73542e3f4e42d1749182418447fa1d1f751e6bf2","2","No"
"0x752ff75672e6f3801b952508c3cd58f470d9b57a","2","No"
"0x7547c9e3a87620489c80dc3047394c645639c271","2","No"
"0x760b22a2a48453bb7aba6db4101bd91488a0ae05","2","No"
"0x7935dca854dd077a958c81ddf3b0a8e270a3735f","2","No"
"0x7d69f6b20af4867842caef9a5461e311af1fde6a","2","No"
"0x81004b4e6fca4b4497ff175ffe57c2a39b27ca57","2","No"
"0x823021aed4a6002a2dc28fc3553b3a56e5056ad1","2","No"
"0x826f2dfb5a8829874b85bcea5610d6fb784c99e3","2","No"
"0x84c319644e0f0d87cde08e37dc739750419ddee9","2","No"
"0x850bd80578d46ed9418eba219b18a1cb7a078688","2","No"
"0x8599e84cf3f3cd2c97eaab3547697813f2547e03","2","No"
"0x880c1eb5c199c2f38d1a680855064ba3a4a317e6","2","No"
"0x8848027f9b0cbcdda0b45981470a02ee20017aef","2","No"
"0x89c5b0dc32c39dbe9b571c857f82b0e063886f90","2","No"
"0x8a8ad38f5f0de7d964be685aec05d3f608df8c4a","2","No"
"0x8ba57e1951efade9a8d034ec1daeac570699996f","2","No"
"0x8d8c46ea6b5d7291f3cfefd5d13d5593865a41d7","2","No"
"0x8db5c8291a5505ecf59b75d5d3f5b3649c8f4b0b","2","No"
"0x8ddf88a996b58f75f9dcfd89bfc0a4ea037a16a4","2","No"
"0x901e3c1b7e73b26d5a9885d7571a2ae0d08ed317","2","No"
"0x90ae92cd6af97fad517055d82ee76a4b629bfbd5","2","No"
"0x91c2a30747663ad058a045e8e29c076bdad15288","2","No"
"0x93535047248148ef01dde7b922adb3b93d8b3358","2","No"
"0x94bd885e56667bc65ebde762410efd11ff0e6ad8","2","No"
"0x972c2f9ee755c4d91a55acb3b1b2fac2851d9ed6","2","No"
"0x9876f3567bb36ed874d8d9ad2880883ca4f5c53d","2","No"
"0x9d1919aa383f136db9d41a61efe10fc4ea55ea0c","2","No"
"0xa547f747639e32e9742adca278dca8579d812654","2","No"
"0xa5e0d52293fd36ac09150b0700ef85399ed6a3a7","2","No"
"0xa661019204cc6bad53fef5c60f4e13ee8580683f","2","No"
"0xa8ea2a456b94531d4b71903d99b7998c9d904d8f","2","No"
"0xaad2e4507651c6d993cd1ef59f689e3a9cf48911","2","No"
"0xad7d19b76e92320d26fc19dbf26aa78f28d3dea0","2","No"
